== fastent benchmark ==
  binary    : ./fastent
  ent       : /usr/bin/ent (compared at jobs=ent, single-threaded)
  size/run  : 1024 MiB
  runs/cell : 5 (after 1 warmup)
  jobs      : 1 2 4 8 16 24
  modes     : byte bit byte-fold
  levels    : plain e ee
  fips      : on
  datasets  : random zeros counter dna ascii biased sparse-bits lcg walk stripes
  cache     : /tmp/fastent-bench

  generating random       (1024 MiB) ...
  generating zeros        (1024 MiB) ...
  generating counter      (1024 MiB) ...
  generating dna          (1024 MiB) ...
  generating ascii        (1024 MiB) ...
  generating biased       (1024 MiB) ...
  generating sparse-bits  (1024 MiB) ...
  generating lcg          (1024 MiB) ...
  generating walk         (1024 MiB) ...
  generating stripes      (1024 MiB) ...

  dataset      mode      level jobs        mean      stddev         min         max       MiB/s
  zeros        byte-fold e       16     0.2887s     0.0113s     0.2781s     0.3057s      3547.3
  zeros        byte-fold e       24     0.2997s     0.0068s     0.2915s     0.3061s      3416.9
  zeros        byte-fold ee       1     2.5039s     0.1625s     2.4000s     2.7853s       409.0
  zeros        byte-fold ee       2     1.3064s     0.0183s     1.2857s     1.3260s       783.8
  zeros        byte-fold ee       4     0.7526s     0.0631s     0.6949s     0.8214s      1360.7
  zeros        byte-fold ee       8     0.4567s     0.0392s     0.4126s     0.4900s      2242.3
  zeros        byte-fold ee      16     0.3761s     0.0101s     0.3669s     0.3926s      2722.9
  zeros        byte-fold ee      24     0.3975s     0.0135s     0.3810s     0.4124s      2575.9
  zeros        fips      -        1     3.0938s     0.0097s     3.0830s     3.1041s       331.0
  zeros        fips      -        2     1.6091s     0.0012s     1.6079s     1.6110s       636.4
  zeros        fips      -        4     0.8510s     0.0038s     0.8462s     0.8564s      1203.3
  zeros        fips      -        8     0.4581s     0.0053s     0.4527s     0.4654s      2235.5
  zeros        fips      -       16     0.3581s     0.0068s     0.3491s     0.3655s      2859.4
  zeros        fips      -       24     0.3422s     0.0076s     0.3296s     0.3498s      2992.7
  counter      byte      plain  ent     8.4373s     0.0220s     8.4207s     8.4747s       121.4
  counter      byte      plain    1     0.3119s     0.0005s     0.3112s     0.3126s      3282.8
  counter      byte      plain    2     0.2005s     0.0015s     0.1987s     0.2024s      5107.5
  counter      byte      plain    4     0.1178s     0.0017s     0.1160s     0.1206s      8693.3
  counter      byte      plain    8     0.0737s     0.0022s     0.0709s     0.0761s     13901.9
  counter      byte      plain   16     0.0645s     0.0032s     0.0600s     0.0686s     15883.0
  counter      byte      plain   24     0.0631s     0.0043s     0.0597s     0.0704s     16241.0
  counter      byte      e        1     1.6702s     0.0033s     1.6653s     1.6730s       613.1
  counter      byte      e        2     0.9042s     0.0022s     0.9015s     0.9066s      1132.5
  counter      byte      e        4     0.4921s     0.0021s     0.4892s     0.4942s      2080.7
  counter      byte      e        8     0.3096s     0.0100s     0.2971s     0.3232s      3307.3
  counter      byte      e       16     0.2769s     0.0028s     0.2724s     0.2799s      3698.7
  counter      byte      e       24     0.2995s     0.0040s     0.2953s     0.3044s      3418.9
  counter      byte      ee       1     2.3410s     0.0090s     2.3312s     2.3529s       437.4
  counter      byte      ee       2     1.2505s     0.0029s     1.2462s     1.2538s       818.9
  counter      byte      ee       4     0.6741s     0.0031s     0.6697s     0.6784s      1519.1
  counter      byte      ee       8     0.4215s     0.0118s     0.4048s     0.4341s      2429.3
  counter      byte      ee      16     0.3632s     0.0072s     0.3539s     0.3741s      2819.3
  counter      byte      ee      24     0.3804s     0.0058s     0.3732s     0.3863s      2692.2
  counter      bit       plain  ent    18.3412s     0.0624s    18.2799s    18.4136s        55.8
  counter      bit       plain    1     0.1391s     0.0011s     0.1379s     0.1402s      7362.1
  counter      bit       plain    2     0.1133s     0.0023s     0.1114s     0.1173s      9034.3
  counter      bit       plain    4     0.0700s     0.0010s     0.0688s     0.0711s     14638.3
  counter      bit       plain    8     0.0516s     0.0010s     0.0507s     0.0528s     19857.4
  counter      bit       plain   16     0.0501s     0.0010s     0.0490s     0.0515s     20424.6
  counter      bit       plain   24     0.0506s     0.0014s     0.0494s     0.0526s     20253.0
  counter      bit       e        1     1.4932s     0.0025s     1.4905s     1.4973s       685.8
  counter      bit       e        2     0.8131s     0.0017s     0.8117s     0.8159s      1259.4
  counter      bit       e        4     0.4465s     0.0027s     0.4435s     0.4502s      2293.2
  counter      bit       e        8     0.2787s     0.0084s     0.2714s     0.2929s      3674.8
  counter      bit       e       16     0.2607s     0.0040s     0.2556s     0.2650s      3927.8
  counter      bit       e       24     0.2862s     0.0064s     0.2817s     0.2970s      3578.3
  counter      bit       ee       1     4.3687s     0.0037s     4.3651s     4.3727s       234.4
  counter      bit       ee       2     2.2666s     0.0023s     2.2644s     2.2700s       451.8
  counter      bit       ee       4     1.2013s     0.0026s     1.1977s     1.2045s       852.4
  counter      bit       ee       8     0.6682s     0.0091s     0.6586s     0.6828s      1532.4
  counter      bit       ee      16     0.5500s     0.0065s     0.5436s     0.5598s      1861.9
  counter      bit       ee      24     0.5530s     0.0037s     0.5467s     0.5562s      1851.6
